title,User 000,User 001,User 002,User 003,User 004,User 005,User 006,User 007,User 008,User 009,User 010,User 011,User 012,User 013,User 014,User 015,User 016,User 017,User 018,User 019,User 020,User 021,User 022,User 023,User 024,User 025,User 026,User 027,User 028,User 029,User 030,User 031,User 032,User 033,User 034,User 035,User 036,User 037,User 038,User 039,User 040,User 041,User 042,User 043,User 044,User 045,User 046,User 047,User 048,User 049,User 050,User 051,User 052,User 053,User 054,User 055,User 056,User 057,User 058,User 059,User 060,User 061,User 062,User 063,User 064,User 065,User 066,User 067,User 068,User 069,User 070,User 071,User 072,User 073,User 074,User 075,User 076,User 077,User 078,User 079,User 080,User 081,User 082,User 083,User 084,User 085,User 086,User 087,User 088,User 089,User 090,User 091,User 092,User 093,User 094,User 095,User 096,User 097,User 098,User 099
X-Men (2000),4.5,3.5,3.5,,4.5,,,2.5,,5,3.5,4,,,3.5,2,,4.5,3,4,,4.5,,,3,3,,2.5,,3.5,4.5,3,,4,4,,4,3.5,4,,3,5,0.5,,1,4,,3.5,3.5,4,,3,4,,3,5,3.5,3,3,3.5,3,4.5,3.5,4,3.5,,3,,3.5,4,3,2,4,4,4,,4,,3.5,5,3.5,4.5,3.5,3.5,4,3.5,4,,4,4,,4,2,4,,,,3,,
Fargo (1996),,4,4,,4,5,5,3,4,5,3,4,,,,5,,4,4.5,4,4,4,4,3,3,,5,5,,3,5,4,,,,4,,4,4.5,4,5,4,5,,5,4.5,3,4.5,4.5,4,5,4.5,,,,4,4.5,2,4,3.5,4,4.5,4,3.5,,3.5,4,2.5,,3.5,4,,4,,5,5,,4,4.5,,,2.5,4,4.5,4,3,,5,3.5,4.5,5,3,,,4,,5,3,4,
Dances with Wolves (1990),,5,5,5,3.5,,3,,4,5,3,,4,,,,,4,,5,,,3.5,,4,2.5,5,4.5,3.5,,,,,,,,,,,4.5,,4,,5,,4,,2,,4,4,,4.5,4,,,,3,,,,4,4.5,,,4.5,3,4,3.5,3.5,,2,,3,4,4,,3.5,,4,,4,,4,3,4,3.5,3,,,,3,4,,3,,3.5,,3,5
"Fifth Element, The (1997)",4.5,3.5,4,,,2.5,,4,,4.5,,,,,2.5,2,3.5,4.5,,3.5,,2.5,,,4,5,,4.5,2,,5,,,4,4.5,,,,4,3,3,3,,4,3,3.5,1,4.5,3.5,4,3,4.5,2.5,4,,4,,,,4,3.5,4.5,2.5,2,3.5,,3,4.5,4,4,5,4,4,4.5,5,5,3.5,4,4.5,4,4,3,4.5,4.5,3,4.5,3.5,,,4,,4,,5,4,4,,5,3.5,2.5
Back to the Future (1985),4.5,,5,,4.5,4,2,3.5,,5,4,,3.5,5,5,4,2.5,3.5,,5,4,5,4,5,3.5,,3,3,4.5,4.5,3.5,4.5,5,4,5,5,3,,4.5,3,3,4,4,5,5,4,5,4,5,4,3,4,,3.5,4.5,5,,4,2,3.5,4.5,,4,4,3.5,5,4.5,,4,3.5,,,4,4,5,3,4,2.5,5,3.5,3.5,3,,3.5,5,,4,5,1.5,4.5,,2,4,4,4,5,3.5,3.5,2,
Kill Bill: Vol. 1 (2003),4.5,4,4,,4,,,4,4.5,4.5,3.5,,5,,1.5,,3,5,,4,3.5,3.5,,,5,2,2,4,,4.5,4,4.5,3,4.5,4.5,,3,4,3.5,5,,,,,,3.5,,3.5,3.5,5,,4.5,2.5,4.5,5,4,4.5,,,5,5,4,4,,4.5,5,4,3.5,,4,,4.5,,4.5,4,,3.5,3,4.5,,,3,4,5,4,4,5,,,4.5,,4,,,,,,4.5,4,
"Godfather, The (1972)",5,5,,5,5,4.5,5,5,4.5,5,4.5,4,4,,2.5,5,2.5,4.5,5,5,4,5,5,4.5,3.5,,5,4.5,4,,5,4,5,4,,,4,5,,,,4,5,,5,4,,,4,4,2,,4,4,5,4,4.5,4,5,4,4,5,,,3,5,5,3.5,3.5,5,4,,3,,5,5,3.5,,5,5,,4,,,5,4.5,,5,5,4.5,4,5,5,,5,5,5,4.5,4.5,
Schindler's List (1993),,5,5,4.5,5,5,3,,3.5,,4.5,5,5,3.5,,5,,3,3.5,5,4,4.5,5,,4,1,5,4,4.5,4,5,3,5,4,,,4.5,3.5,4.5,,,,5,5,5,4.5,,,4,,,4,4.5,5,4.5,,4.5,,,,5,,4,,,5,5,4,,,3,,4.5,4.5,4,4,4,4,3.5,,,4,,,,3,,5,1.5,4.5,5,4,4,,5,,,,,3.5
Stargate (1994),4,3,,,3.5,,,,,2,,,,,,,,4,,4,,,,,3.5,,,2.5,,4.5,3.5,,,,3.5,,,,3,,4,,,,2,,5,2.5,,4.5,3,,,,,5,,,4,3,,4,3,3.5,,3,,3.5,,4,3,,3.5,3.5,3,3,,,,4,3,3.5,4,3,3,4,,5,,,,3,2,2,3,,,2.5,3.5,
Reservoir Dogs (1992),4.5,4,,,4,,5,4,4.5,3.5,4,,4,,,5,,5,,4,4,4,3,4,4.5,,3,5,,3.5,4,,5,4,,4,,5,4,4,5,5,5,,,4,5,,3,2.5,3,,,5,5,4,4,,5,5,,5,4,,3,5,4,3.5,3.5,4,5,4,,,5,5,,4,5,,,3.5,4,3.5,5,3,,5,3.5,4,4,4,5,3,,4,4,4,4.5,
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),5,4,,5,3.5,,2,3.5,,,,4,4.5,,3,5,,5,,4.5,4,,,,4.5,,5,4.5,,4,4.5,,,,,,,5,,4,5,5,3.5,4,1,4.5,,,3.5,,,4,3.5,4.5,5,5,4.5,,4,5,4,4.5,3,,4,3.5,,5,3.5,4,,,3.5,,5,4,,3.5,5,,3.5,4,4.5,4.5,,4.5,,4,,5,3.5,4,,4,,,,4,4.5,
Ghost (1990),,4,3,,3,,3,,,,2,4,,4,,3,,1.5,,3.5,,3.5,3.5,,,2.5,3.5,,4,,3,3,3.5,,,,,,3,,5,,,,3,,,,,3.5,3,,4.5,4,,3,,3.5,,2.5,3,3.5,,4,,,,,,2.5,,,3.5,,3,,,,,2,,2,,4,3,,,,,,2,2.5,,3,2,4,3,,,3.5
"Fugitive, The (1993)",4.5,,3,,5,4,3,,,,3,4,4,2.5,,4,,3,,3.5,,,,,3.5,,4,3.5,4,4,,3,,3.5,,4,,,5,3,4,3,2.5,5,2,3.5,,,,2.5,4,3.5,,,,4,3.5,4,2,3,2.5,4,,4,,4,4,3.5,,4,5,,4,4,5,3,3.5,,4.5,4,,4.5,,,4,3,,5,,4.5,4,3,4,4,5,5,3.5,4.5,,
"Sixth Sense, The (1999)",4,4.5,3,5,5,4.5,5,,,5,2.5,3,5,,0.5,2,,4.5,,4,4.5,,5,,4,2.5,,4,4,4,5,3.5,4.5,3.5,4,4,5,4.5,4,5,4,5,2,2,5,4.5,1,,,4,4,,4,4,4.5,5,4,4,4,3.5,3.5,,4.5,5,,4,3.5,3.5,,4,4,3.5,4,4,3,5,4,,4.5,5,4,2.5,4,3,4,3,,,2.5,4,4,4.5,,4,5,5,,2,2.5,4
Men in Black (a.k.a. MIB) (1997),4.5,3.5,4,,4.5,2,4,3,,5,2,4,2.5,3,4.5,2,3.5,4,1.5,3.5,,3.5,3.5,4,3,3.5,3,2.5,4,3,3.5,,4,3.5,4,,3.5,,4,,2,4,,5,2,3.5,4,3.5,2,4,5,,,2.5,3,5,4,4,4,3,2,4,,4,,,3.5,3.5,4,3.5,4,1.5,4,4,4,3,,4,,3,3.5,4,4,3,4,3,4,,4,4.5,4,3.5,4,2,4,3,3,3,,3.5
"Lord of the Rings: The Return of the King, The (2003)",5,4.5,4,5,5,4,,4,4,4.5,3,,4,3,1.5,,4,4,4.5,4,4,2,3.5,3.5,3,3,5,1,4,5,5,5,,,4.5,3,4,4.5,4,5,,,4,,5,4.5,,4.5,4,4,,,4,4.5,5,5,5,3.5,,3,4,5,4,4,4,5,4.5,4,4,4.5,,3.5,3.5,4,4,,3.5,3.5,5,,3.5,4.5,4,4,4.5,3.5,4,,4.5,5,,4,,,,,,3.5,,4.5
Mission: Impossible (1996),4.5,,1,3.5,3.5,4,2,,,3,2,4,3.5,,4.5,3,,,3,3,,4,,,3.5,2,4,4,5,3,4,3,3,4,,4,3,,3,,,3,,4,1,3,3,3.5,4,2.5,5,,4,2.5,,4,3,,1,3,2,4,,3,,4,3.5,3.5,4,4,3,2.5,3.5,4,4,2,,3,,4,,4,,3,3,,3.5,,,3.5,,3.5,5,3,4,4,3.5,4.5,3,3.5
Titanic (1997),1.5,,3,,4,4,3,,,5,2,2,3.5,3.5,3.5,,,4,4,4,,5,4,,3.5,3,4,,3.5,3,3,3,3,4,4.5,4,4.5,,3.5,,,,,5,,4,,1.5,,3.5,,,4,4,4,2,3,4,,3,2,,,3.5,3,3.5,3.5,3.5,2.5,,2,1,3,3,4,,,,3,4,,3,3.5,3.5,,,2.5,,2.5,2,3,2,,,2,4,3,0.5,,
"Clockwork Orange, A (1971)",,,4,3,3.5,5,5,3.5,5,5,3.5,5,,0.5,,5,,4,,4,,1,4,,4.5,,,5,,2,4.5,5,,,,,,5,,5,4,4,4.5,,,4.5,5,4,,4,,3.5,4,4.5,,,4,,,4.5,,5,4,,3.5,5,3,3,,5,4,4.5,3.5,,5,5,,3.5,,,,3,,,4,2.5,,2,3.5,4,4,3.5,,,4,5,5,,5,
Ocean's Eleven (2001),,,3.5,4,4,,,2.5,,,,,,0.5,4.5,,4,4,2.5,3.5,,4,4.5,4.5,4,,3,4,,3.5,4,1,4,3.5,4,,4,4,,,,,3,,,4,4,4.5,4,3.5,,4.5,3.5,4,4.5,3,4.5,3,,4,4,4,3.5,4,3,4,3.5,4,,3.5,,,,4,4,,3.5,,4,5,3.5,3.5,4,3.5,4,,4,,,4,3.5,4.5,,,,,,5,3.5,
Independence Day (a.k.a. ID4) (1996),5,3,1,3.5,4,,,2.5,,4,2,3,3,3.5,3.5,1,3,3,2.5,3,,3.5,4,3.5,3.5,3,4,1.5,4,4,2.5,2,3.5,3.5,4.5,,3.5,,4,3.5,4,2,,4,1,4,2,3,3,2.5,3,,1.5,2.5,,4,,4.5,3,3.5,3,4,2,4,,4.5,4,3.5,4,3.5,3,3,3.5,3.5,4,2,,4,3.5,3,,4,3.5,2.5,3,3,3.5,,,4,3,3,2,,3,1,,4,2,2.5
Batman Begins (2005),4.5,4,4.5,,3.5,3.5,,3,4.5,4.5,4,,4.5,,3.5,,3.5,5,,4,4,4,4,4,3.5,4.5,,3.5,4,4,4.5,2.5,,,3,,4.5,4,4,,,,1,,,4.5,,4.5,3.5,3,,3,,,5,5,5,,,3,4,4.5,4,3.5,3,5,4,,,,,,3.5,4.5,4.5,,4,4,4,,,2.5,3.5,3.5,3.5,4.5,4,,2,4,,,,,,,,4.5,4,
"Monsters, Inc. (2001)",4,4,4.5,,3,4,,3,3.5,4,3,,4,2,3.5,3,4,,,2.5,4,5,4,,3.5,,4,4.5,,4,4.5,3,4.5,,4,,4,3.5,,4.5,,,,,,4,3,4,3.5,5,,3.5,4,4,,5,4,4,,2.5,4.5,4.5,,4,3,,,4,1.5,4,,2,3.5,4,4,,3.5,3.5,4,5,3.5,4.5,,,4,,3.5,,1.5,4,,4,,,,,,3.5,,
Home Alone (1990),5,3,3,,2,,,,4,4.5,2,,,5,2.5,,,,,4,,3,4,1,3.5,3.5,,3.5,2,3.5,3,,,3,4.5,3.5,3,,3,3,4,,,4,,3.5,,4,2.5,3.5,,3.5,,,4,4,,4,,3,2,,,1,2,,3,2.5,,2,,2,2,,3,,,,,3,3,1,,1.5,3,,3,,,,,1,2,3,,,2,3,2,3
Inception (2010),5,,,5,,5,,3.5,4.5,,,,,,3.5,,,,,,4,5,4,5,5,,,,4,3.5,,,4.5,,4.5,4,5,5,4.5,,,,1.5,,,4.5,,,3.5,5,,4,4.5,,5,5,,3,,3,5,,4,,3,5,,4.5,,,,,,,5,,4,4,4,,,5,4,4.5,4,,,,,5,,,,,,,,,,
Blade Runner (1982),,,4,3.5,3,5,3,4.5,,2,3.5,,,,3.5,5,,5,,4,,,,2.5,2.5,,3,4,5,,5,,,,,,,4,5,5,4,5,,4,5,4,3,,,2,,,,5,,5,,3.5,5,4.5,,4,5,,,4,4.5,,,5,,3.5,,,5,5,4,3.5,5,3,,2,,4,4,4,,4,3.5,4,5,3.5,,4,5,4,4,3.5,4.5,3
Die Hard: With a Vengeance (1995),5,,,5,,,,3,,4,2.5,1,,2.5,3.5,2,,,,3,,,,,4,,4,3,3.5,,,2.5,,4,4.5,,3.5,,,,,,,4,3,4,,,4,,3,,2,,,5,,3.5,3,3,4.5,,,,,,3,3.5,4,3,5,1,4,4,3,,,3.5,,5,,3.5,,3,4,,4,4,,,,,2,3,,,,4.5,,
"Breakfast Club, The (1985)",,3.5,3,,3.5,,,3.5,4,,4.5,4,,,,4,4,,1.5,3.5,,3.5,4,,4,2.5,,5,,4,,,4,4,,4,,,4,4,5,5,2.5,,,,3,4,4,5,4,4.5,,4,,,2.5,3,2,3.5,3.5,,,5,4,5,,3.5,,3,,,4,,5,5,3.5,3.5,4,4,,3,,4,3,,4,,4,,,4,4,2,4,5,3.5,3,3.5,
American History X (1998),5,4,4.5,5,4,,3,,5,5,5,,4.5,,,,,4,,5,3,,4,4.5,4.5,,,4.5,,3.5,5,4,4.5,4.5,4,,5,4,,,5,,3,,3,4,5,4.5,4,4,,,4.5,4,4.5,,5,,,4,3,5,3.5,4,4,5,3,4,,,4,3.5,,,5,,,,,5,,2.5,4,,,2.5,,,,4.5,3,4,5,,,,,3.5,4,5
Monty Python and the Holy Grail (1975),4.5,4,5,,4.5,,,2.5,,,3.5,5,,2,,5,,5,,5,2,4.5,4.5,4.5,3.5,,,4,,,5,4.5,5,,,4,3.5,,4.5,5,,5,5,4,,4.5,,5,5,4.5,2,4.5,,4,,5,,4,2,4.5,4.5,5,,4,,2.5,3.5,3.5,,5,5,3.5,,,5,5,4,3.5,5,5,4,3.5,4,3.5,5,3.5,,3,4.5,,5,3,,3,5,4,5,3.5,4.5,
Fight Club (1999),5,4.5,3.5,5,4,4,4,5,5,1.5,4,5,5,,2,4,5,5,4,4.5,5,4,4.5,4,5,3,,5,,4,5,4.5,4.5,4.5,,2.5,4.5,5,,5,4,5,5,,4.5,4.5,5,4,5,4,,3.5,3.5,5,5,4,4.5,2,5,5,4.5,5,4.5,5,4,4.5,3.5,4.5,,4.5,5,4,4,3.5,5,,4,,5,5,3.5,2.5,4.5,4.5,4,3.5,5,,3.5,5,,5,3,5,,,,4.5,4.5,4
One Flew Over the Cuckoo's Nest (1975),4,5,5,,3.5,5,4,4,4.5,5,3.5,,,1.5,,5,,4,,3.5,5,4,,4,4.5,,3,4,,,4.5,,5,,,4,,4.5,4.5,,,,5,,,4.5,,4,4,4,,,,4.5,4,4,4,2.5,,,3,4,,,,5,4.5,,,4,,,3,,4,5,,4,,,,3,3.5,,5,,,,,4.5,,3.5,,4,4,5,4,,4,4
Shrek (2001),4.5,3.5,4,,4.5,4,,2,3.5,5,2.5,4,5,4,4,4,4,4,3,3.5,3.5,4,4,,3.5,,3,4,4,,3,3.5,4.5,4,4.5,4,4,4,4,5,,,4.5,,4,4,,4,2.5,4.5,,3.5,4.5,4,1,5,4.5,4,,2.5,4,4,4.5,4,3.5,,4,4,4,5,5,1,4,4.5,4,,4,3.5,3.5,5,4.5,5,3.5,4,,,3,,,3.5,,4.5,,,,,,4.5,,5
"Godfather: Part II, The (1974)",3,5,,5,5,4.5,5,3.5,4.5,,4.5,,,,2.5,4,,4,4,5,4,4,5,4,3.5,,3,4.5,4.5,,,,5,,,,,4.5,,,,4,5,,5,5,3,,4,,2,,4,4,5,5,4.5,4,4,4,3.5,5,,,3,5,5,3.5,3,4,4,,,,5,5,3,,5,4,,3,,,5,4,,5,4.5,4,,4.5,5,,5,5,4,4,4.5,
Die Hard (1988),5,3,3,5,3,,4,3,,5,3,5,,,3.5,5,,4,,3.5,,4,,4,4,,4,4,,4.5,4.5,3,,4,4.5,4,4.5,,4.5,4,4,4,1,4,2,4,,3,4,,4,4.5,2,,,5,4,4,4,4,3.5,4,,2,,4,4,3.5,4,4,5,,4,4,5,4,4,4,5,3,,3,,3,5,2,3.5,5,1.5,4,,3,4,,4,4,,5,3,3.5
Forrest Gump (1994),4.5,4,5,5,3,4,3,3,4,5,4,,5,3.5,4.5,5,4,4,4,5,5,5,3.5,3.5,4.5,,4,5,3.5,4,4.5,4,4.5,4.5,4.5,4,4,3.5,5,5,5,5,3,5,3,4.5,5,4,3.5,5,2,4,4.5,4,5,5,4,4.5,,3.5,5,5,4.5,4,4,4.5,5,5,4.5,3,5,3,4,4,5,,3.5,4.5,3,5,4,3.5,3.5,4,3,4,4,3,2.5,4.5,2,3,5,2,4,5,3,,4,4
"Usual Suspects, The (1995)",5,3,,,4,,,3.5,4,5,4.5,,4.5,,,4,,5,4.5,3.5,5,4,5,4.5,4,,3,4.5,,4.5,,,4.5,4.5,,,,5,,4,5,4,4,,4,5,5,,5,5,3,4.5,3,4.5,,4,5,,5,3.5,4.5,4.5,4,4.5,4,5,4.5,4.5,,4.5,5,,,,5,4,3.5,,4,5,,3,4,,4,3.5,,5,3.5,4,4,4.5,5,,5,5,4,5,4.5,
Batman (1989),4.5,,3,,4,2.5,2,3.5,,,4,5,2.5,3,3.5,4,,3,,4.5,,3,3,,3,3,,3.5,,4.5,,2.5,3.5,4,4,2.5,,,,4,3,3,2,,4,,3,,4,4,2,,,3.5,,3,3.5,3.5,5,3.5,3.5,,,,2,2.5,3.5,3.5,3.5,5,,3,,4,4,3,3.5,,4.5,,,4,,4,3,2.5,,3,3,,3,3,3,5,4,4,,3.5,4,3.5
Good Will Hunting (1997),,4.5,3.5,4,3.5,,3,,4.5,4.5,3,,,2.5,3.5,3,3.5,4.5,3,5,4.5,5,5,4.5,4,3,4,4,,4,4.5,,4.5,4,,4,,4,,5,,,,4,,4,4,4,3.5,,,,4.5,4.5,5,,4.5,,,4.5,4.5,5,,4.5,3,4,,4,,3,3,,3.5,4.5,5,3,4,,,5,,4.5,4,3.5,4,3,4.5,,,4,2,4.5,5,,3,5,4,4,4,
"Matrix, The (1999)",5,4,3,5,4.5,,5,4,4,5,3.5,5,5,2.5,4,5,3.5,5,2.5,5,3.5,3,,4,4,,4,5,3.5,4,5,3,5,4,4,4,4.5,4,4,5,5,4,2,4,4,4.5,5,4,3.5,3.5,3,4,3.5,5,5,4.5,4,4,5,5,4.5,5,5,5,4.5,5,4,3.5,4,5,5,4,4.5,5,5,4,4,3.5,5,5,4,4.5,4.5,4,2,4,5,,0.5,5,4,5,5,4,5,,3,5,4,4
Batman Forever (1995),1.5,2.5,2,,3,,1,2,,,2,1,,,,,,2,,1,,3,2.5,,3.5,3.5,,3.5,,,,,,,3.5,,,,,,3,,,3,3,,,4,1,3,2,,3.5,,,3,2.5,3,,2,2,,,,,,2.5,,3,2,,,2.5,3,2,,2.5,3,3,,,3,,3,2.5,,,,,,,2.5,2,2,2,3,,2.5,3,3
Aliens (1986),4,,3,,3.5,,4,4,,5,,5,4,,2,3,,4.5,,4,,,,4.5,4,3,4.5,4.5,3.5,4.5,5,2,,,,5,,,,5,5,5,4,4,1,,3,,2.5,4,3,,4,3.5,,5,,,5,5,4.5,4,4,,,3.5,4.5,3.5,3.5,5,,3.5,4,,5,4,3.5,,5,,,2.5,,4,2,4,,5,2,3.5,,4.5,,3,4,5,,,3.5,
